,WorkOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid,Role,Team,IsCorrespondingAuthor
100,W4205765336,A5066027781,Loukia Parisiadou,0000-0002-2569-4200,Co-PI,Awatramani,Yes
101,W4205593204,A5052458149,Vinod Udayar,0000-0001-8705-0649,,,No
102,W4205593204,A5100401933,Yu Chen,0000-0001-5438-7309,Key Personnel,Vangheluwe,No
103,W4205593204,A5009140419,Ellen Sidransky,0000-0002-3019-8500,Co-PI,Vangheluwe,Yes
104,W4205593204,A5049461821,Ravi Jagasia,0000-0001-9477-7643,,,Yes
105,W4221026466,A5033501843,Huiwen Che,0000-0002-3651-069X,,,No
106,W4221026466,A5081498592,Bernard Thienpont,0000-0002-8772-6845,Co-PI,Voet,Yes
107,W4224305265,A5087013195,Alcmène Chalazonitis,0000-0003-4035-1764,,,No
108,W4224305265,A5013440829,Meenakshi Rao,0000-0002-8194-9204,,,No
109,W4224305265,A5026787858,David Sulzer,0000-0001-7632-0439,Lead PI,Sulzer,No
110,W4306943613,A5003692234,Santiago Unda,0000-0001-7319-6794,Key Personnel,Kaplitt,No
111,W4306943613,A5052771182,Sabina Marciano,0000-0002-0899-0454,Key Personnel,Kaplitt,No
112,W4306943613,A5030629278,Teresa Milner,0000-0002-0458-6569,,,No
113,W4306943613,A5000487408,Roberta Marongiu,0000-0002-7609-7000,Co-PI,Kaplitt,Yes
114,W4205869028,A5100433830,Lei Zhang,0000-0001-7409-6090,,,No
115,W4205869028,A5080814866,Louise Pitcher,,,,No
116,W4205869028,A5011590825,Vaishali Prahalad,,,,No
117,W4205869028,A5043039694,Laura Niedernhofer,0000-0002-1074-1385,Co-PI,Lee,No
118,W4205869028,A5040467127,Paul Robbins,0000-0003-1068-7099,Key Personnel,Lee,Yes
119,W3192249208,A5060658897,Francesca Rizzollo,0000-0002-5211-7281,,,No
120,W3192249208,A5031848518,Sanket More,0000-0003-3482-4414,,,No
121,W3192249208,A5008583951,Peter Vangheluwe,0000-0002-7822-2944,Lead-PI,Vangheluwe,Yes
122,W3192249208,A5091862786,Patrizia Agostinis,0000-0003-1314-2115,,,Yes
123,W4293581901,A5108206730,Minee Choi,,,,No
124,W4293581901,A5046671995,Alexandre Chappard,0000-0002-9522-2575,,,No
125,W4293581901,A5071840021,Bhanu Singh,0000-0003-3309-8772,,,No
126,W4293581901,A5033957982,Catherine Maclachlan,0000-0002-3606-6672,,,No
127,W4293581901,A5101640801,Margarida Rodrigues,0000-0001-6364-7125,,,No
128,W4293581901,A5069153255,Evgeniya Fedotova,0000-0001-6619-4563,,,No
129,W4293581901,A5070232549,Alexey Berezhnov,0000-0003-0271-6179,,,No
130,W4293581901,A5056814808,Suman De,0000-0003-1675-0773,,,No
131,W4293581901,A5037445001,Christopher Peddie,0000-0002-8329-5419,,,No
132,W4293581901,A5043990676,Dilan Athauda,0000-0001-8594-2483,,,No
133,W4293581901,A5040895889,Gurvir Virdi,0000-0002-8942-0903,,,No
134,W4293581901,A5102939811,Wei Zhang,0000-0002-2197-8556,,,No
135,W4293581901,A5041647947,James Evans,0000-0003-2923-281X,Key Personnel,Wood,No
136,W4293581901,A5066839058,Anna Wernick,0000-0001-9048-9492,Key Personnel,Hardy,No
137,W4293581901,A5012884187,Zeinab Zanjani,,,,No
138,W4293581901,A5091523616,Plamena Angelova,,,,No
139,W4293581901,A5038020678,Noemí Esteras,0000-0002-7938-6131,,,No
140,W4293581901,A5108812179,Andrey Vinikurov,,,,No
141,W4293581901,A5033318012,Katie Morris,0000-0002-8944-2264,,,No
142,W4293581901,A5077792072,Kiani Jeacock,0000-0001-9978-7963,,,No
143,W4293581901,A5062158055,Laura Tosatto,0000-0002-5966-8131,,,No
144,W4293581901,A5076255180,Daniel Little,0000-0001-8806-3484,,,No
145,W4293581901,A5085511830,Paul Gissen,0000-0002-9712-6122,,,No
146,W4293581901,A5072718275,David Clarke,0000-0002-3741-2952,,,No
147,W4293581901,A5057119874,Tilo Kunath,0000-0002-8805-7356,,,No
148,W4293581901,A5032614754,Lucy Collinson,0000-0003-0260-613X,,,No
149,W4293581901,A5042822683,David Klenerman,0000-0001-7116-6954,,,No
150,W4293581901,A5055353781,Andrey Abramov,0000-0002-7646-7235,,,No
151,W4293581901,A5041913324,Mathew Horrocks,0000-0001-5495-5492,Collaborating PI,Wood,No
152,W4293581901,A5101470156,Sonia Gandhi,0000-0003-4395-2661,Co-PI,Wood,No
153,W4309907185,A5040895889,Gurvir Virdi,0000-0002-8942-0903,,,No
154,W4309907185,A5108206730,Minee Choi,,,,No
155,W4309907185,A5041647947,James Evans,0000-0003-2923-281X,Key Personnel,Wood,No
156,W4309907185,A5001792341,Zhi Yao,0000-0002-9490-3870,,,No
157,W4309907185,A5043990676,Dilan Athauda,0000-0001-8594-2483,,,No
158,W4309907185,A5019028054,Stephanie Strohbuecker,0000-0002-9781-6879,Key Personnel,Wood,No
159,W4309907185,A5066839058,Anna Wernick,0000-0001-9048-9492,Key Personnel,Hardy,No
160,W4309907185,A5016671084,Haya Alrashidi,0000-0001-9338-3036,,,No
161,W4309907185,A5065541648,Davide Melandri,0000-0002-3746-308X,,,No
162,W4309907185,A5054067951,Jimena Perez-Lloret,0000-0002-2666-3764,,,No
163,W4309907185,A5091523616,Plamena Angelova,,,,No
164,W4309907185,A5057313987,Sergiy Sylantyev,0000-0002-1358-0601,,,No
165,W4309907185,A5058744331,Simon Eaton,0000-0003-0892-9204,,,No
166,W4309907185,A5016596105,Simon Heales,,,,No
167,W4309907185,A5057119874,Tilo Kunath,0000-0002-8805-7356,,,No
168,W4309907185,A5041913324,Mathew Horrocks,0000-0001-5495-5492,Collaborating PI,Wood,No
169,W4309907185,A5055353781,Andrey Abramov,0000-0002-7646-7235,,,No
170,W4309907185,A5076531240,Rickie Patani,0000-0002-3825-7675,,,Yes
171,W4309907185,A5101470156,Sonia Gandhi,0000-0003-4395-2661,Co-PI,Wood,Yes
172,W4322768301,A5032850044,Katy Vandereyken,0000-0002-4477-5866,Key Personnel,Voet,No
173,W4322768301,A5045411063,Alejandro Sifrim,0000-0001-8247-4020,Collaborating PI,Voet,No
174,W4322768301,A5081498592,Bernard Thienpont,0000-0002-8772-6845,Co-PI,Voet,No
175,W4322768301,A5033632636,Thierry Voet,0000-0003-1204-9963,Lead-PI,Voet,No
176,W4387892944,A5036096692,Herschel Dhekne,0000-0002-2240-1230,,,No
177,W4387892944,A5029388712,Francesca Tonelli,0000-0002-4600-6630,Key Personnel,Alessi,No
178,W4387892944,A5071273941,Wondwossen Yeshaw,0000-0002-3134-3458,,,No
179,W4387892944,A5085896336,Claire Chiang,0000-0002-0999-9856,Key Personnel,Alessi,No
180,W4387892944,A5088076037,Charles Limouse,0000-0003-2589-4576,,,No
181,W4387892944,A5023471345,Ebsy Jaimon,0000-0001-6845-2095,Key Personnel,Alessi,No
182,W4387892944,A5002947066,Elena Purlyte,0000-0001-7291-1549,,,No
183,W4387892944,A5054181982,Dario Alessi,0000-0002-2140-9185,Lead-PI,Alessi,No
184,W4387892944,A5033452410,Suzanne Pfeffer,0000-0002-6462-984X,Co-PI,Alessi,No
185,W4389697128,A5038587130,Prosenjit Pal,0000-0001-6848-4863,Key Personnel,Alessi,Yes
186,W4389697128,A5000399121,Matthew Taylor,0000-0002-4003-3128,,,Yes
187,W4389697128,A5018861529,Yuko Lam,0000-0001-5486-091X,Key Personnel,Alessi,Yes
188,W4389697128,A5029388712,Francesca Tonelli,0000-0002-4600-6630,Key Personnel,Alessi,No
189,W4389697128,A5062558774,Chloe Hecht,0000-0001-9248-9576,,,No
190,W4389697128,A5027580687,Paweł Lis,0000-0002-4978-7671,Key Personnel,Alessi,No
191,W4389697128,A5005172607,Raja Nirujogi,0000-0002-3177-8566,Key Personnel,Alessi,No
192,W4389697128,A5004300103,Toan Phung,0000-0002-2964-6070,Key Personnel,Alessi,No
193,W4389697128,A5005308525,Emily Dickie,0000-0002-4509-5045,Key Personnel,Alessi,No
194,W4389697128,A5017025792,Melanie Wightman,,,,No
195,W4389697128,A5079890631,Thomas Macartney,0000-0002-6745-183X,,,No
196,W4389697128,A5033452410,Suzanne Pfeffer,0000-0002-6462-984X,Co-PI,Alessi,No
197,W4389697128,A5054181982,Dario Alessi,0000-0002-2140-9185,Lead-PI,Alessi,Yes
198,W4387970169,A5071273941,Wondwossen Yeshaw,0000-0002-3134-3458,,,No
199,W4387970169,A5066757585,Ayan Adhikari,0000-0002-8525-3263,Key Personnel,Alessi,No
200,W4387970169,A5085896336,Claire Chiang,0000-0002-0999-9856,Key Personnel,Alessi,No
201,W4387970169,A5036096692,Herschel Dhekne,0000-0002-2240-1230,,,No
202,W4387970169,A5060993864,Paulina Wawro,0000-0002-9464-1321,,,No
203,W4387970169,A5033452410,Suzanne Pfeffer,0000-0002-6462-984X,Co-PI,Alessi,No
204,W4387125046,A5055196927,Julia Chocarro,0000-0002-3670-3459,Key personnel Lanciego,Vila,No
205,W4387125046,A5029237737,Alberto Rico,0000-0002-9067-5444,Key personnel Lanciego,Vila,No
206,W4387125046,A5046597231,Goiaz Ariznabarreta,0000-0002-8975-8971,Key personnel Lanciego,Vila,No
207,W4387125046,A5002584391,Elvira Roda,0000-0002-2229-3639,Key personnel Lanciego,Vila,No
208,W4387125046,A5001636938,Adriana Honrubia,0000-0001-7850-5234,Key personnel Lanciego,Vila,No
209,W4387125046,A5007339532,María Collantes,0000-0003-1162-1470,,,No
210,W4387125046,A5013934560,Iván Peñuelas,0000-0001-8008-976X,,,No
211,W4387125046,A5110850822,Alfonso Vázquez,0000-0002-1938-7597,,,No
212,W4387125046,A5048432018,Ana Rodríguez‐Pérez,0000-0003-1354-8799,,,No
213,W4387125046,A5005884041,José Labandeira‐García,0000-0002-8243-9791,,,No
214,W4387125046,A5059189782,Miquel Vila,0000-0002-1352-989X,Lead-PI,Vila,No
215,W4387125046,A5079288330,José Lanciego,0000-0003-2301-5419,Collaborator,Vila,Yes
216,W4389429458,A5026190664,Rashmi Chandra,0000-0001-9591-8997,,,No
217,W4389429458,A5072554284,Arpine Sokratian,0000-0001-6654-5773,Key Personnel,Liddle,No
218,W4389429458,A5024539060,Katherine Chavez,0000-0001-8952-385X,Key Personnel,Liddle,No
219,W4389429458,A5006733326,Stephanie King,0000-0003-2293-9185,,,No
220,W4389429458,A5065401534,Sandip Swain,0000-0002-2404-8186,,,No
221,W4389429458,A5087580101,Joshua Snyder,0000-0002-9787-3371,,,No
222,W4389429458,A5071278272,Andrew West,0000-0002-3034-4061,Co-PI,Liddle,No
223,W4389429458,A5058874182,Rodger Liddle,0000-0002-5498-4151,Lead-PI,Liddle,No
224,W4388288214,A5090309070,Vanitha Nithianandam,0000-0002-0740-0758,Key Personnel,Scherzer,No
225,W4388288214,A5052272787,Hassan Bukhari,0000-0003-3328-8234,Key Personnel,Scherzer,No
226,W4388288214,A5002405280,Matthew Leventhal,0000-0002-5995-5202,,,No
227,W4388288214,A5086190348,Rachel Battaglia,0000-0003-3187-6964,,,No
228,W4388288214,A5053690577,Xianjun Dong,0000-0002-8052-9320,Co-PI,Scherzer,No
229,W4388288214,A5043876367,Ernest Fraenkel,0000-0001-9249-8181,,,No
230,W4388288214,A5002571663,Mel Feany,0000-0003-0315-7970,Co-PI,Scherzer,No
231,W4386640166,A5045015749,Clodagh Towns,0000-0001-8418-6241,,,No
232,W4386640166,A5023158112,Madeleine Richer,0009-0005-4339-4788,,,No
233,W4386640166,A5106943354,Simona Jasaityte,0009-0009-6030-2901,,,No
234,W4386640166,A5062276033,Eleanor Stafford,0000-0003-2451-4308,Key Personnel,Hardy,No
235,W4386640166,A5017476654,Julie Joubert,,,,No
236,W4386640166,A5016557310,Tarek Antar,0000-0002-8334-5359,,,No
237,W4386640166,A5058366878,Alejandro Martínez-Carrasco,0000-0001-6191-1703,,,No
238,W4386640166,A5046196836,Mary Makarious,0000-0002-7978-1051,,,No
239,W4386640166,A5033410295,Bradford Casey,0000-0002-2623-5997,,,No
240,W4386640166,A5086171207,Dan Vitale,0000-0002-0637-3671,,,No
241,W4386640166,A5016889750,Kristin Levine,0000-0002-5702-0980,,,No
242,W4386640166,A5033284534,Hampton Leonard,0000-0003-2390-8110,,,No
243,W4386640166,A5085589147,Caroline Pantazis,0000-0002-2768-4903,,,No
244,W4386640166,A5048281682,Laurel Screven,0009-0007-8630-6754,,,No
245,W4386640166,A5104092582,Dena Hernandez,,,,No
246,W4386640166,A5037170054,Claire Wegel,,,,No
247,W4386640166,A5012476394,J Solle,0000-0002-9941-4830,,,No
248,W4386640166,A5113839983,Mike Nalls,,,,No
249,W4386640166,A5072627174,Cornelis Blauwendraat,0000-0001-9358-8111,,,No
250,W4386640166,A5100694605,Andrew Singleton,0000-0001-5606-700X,,,No
251,W4386640166,A5046721666,Manuela Tan,0000-0001-5835-669X,,,No
252,W4386640166,A5091001932,Hirotaka Iwaki,0000-0002-8982-7885,,,No
253,W4386640166,A5082416184,Huw Morris,0000-0002-5473-3774,Collaborating PI,Hardy,No
254,W4323066990,A5072627174,Cornelis Blauwendraat,0000-0001-9358-8111,,,Yes
255,W4323066990,A5032921133,Nahid Tayebi,0000-0002-1007-4957,Key Personnel,Vangheluwe,No
256,W4323066990,A5050559299,Elizabeth Woo,0000-0002-8462-718X,,,No
257,W4323066990,A5011772005,Grisel Lopez,0000-0001-7785-2197,Key Personnel,Vangheluwe,No
258,W4323066990,A5075832877,Luca Fierro,0000-0003-4381-7953,,,No
259,W4323066990,A5024237726,Marco Toffoli,0000-0002-3255-9648,Key Personnel,Schapira,No
260,W4323066990,A5052995870,Naomi Limbachiya,,,,No
261,W4323066990,A5016812185,Derralynn Hughes,0000-0003-4531-9173,,,No
262,W4323066990,A5086598456,Vanessa Pitz,0000-0002-2964-5553,,,No
263,W4323066990,A5022784144,Dhairya Patel,,,,No
264,W4323066990,A5086171207,Dan Vitale,0000-0002-0637-3671,,,No
265,W4323066990,A5042831687,Mathew Koretsky,0000-0003-4341-3991,,,No
266,W4323066990,A5101776731,Dena Hernández,0000-0002-0188-9927,,,No
267,W4323066990,A5000861365,Raquel Real,0000-0001-8117-742X,Key Personnel,Hardy,No
268,W4323066990,A5037098776,Roy Alcalay,0000-0002-5717-4875,,,No
269,W4323066990,A5113839983,Mike Nalls,,,,No
270,W4323066990,A5082416184,Huw Morris,0000-0002-5473-3774,Collaborating PI,Hardy,No
271,W4323066990,A5059770430,Anthony Schapira,0000-0002-3018-3966,Lead-PI,Schapira,No
272,W4323066990,A5027941722,Manisha Balwani,0000-0001-8047-5011,,,No
273,W4323066990,A5009140419,Ellen Sidransky,0000-0002-3019-8500,Co-PI,Vangheluwe,Yes
274,W4313219376,A5080279475,I. Weaver,0000-0002-9375-4447,,,No
275,W4313219376,A5025366779,S. Yousefzadeh,0000-0003-2842-7121,Key Personnel,Calakos,No
276,W4313219376,A5078373067,Michael Tadross,0000-0002-7752-6380,Co-PI,Calakos,Yes
277,W4391656225,A5084682696,Jake Boles,0000-0001-5501-2162,,,Yes
278,W4391656225,A5114154822,Maeve Krueger,,,,No
279,W4391656225,A5079636197,Janna Jernigan,0000-0003-0771-384X,Key Personnel,Liddle,No
280,W4391656225,A5079636197,Janna Jernigan,0000-0003-0771-384X,Key Personnel,Liddle,No
281,W4391656225,A5112979525,Cassandra Cole,0009-0006-9245-9960,,,No
282,W4391656225,A5092480911,Noelle Neighbarger,0009-0007-6649-0988,,,No
283,W4391656225,A5007526626,Oihane Huarte,0000-0001-8460-0844,,,No
284,W4391656225,A5008036209,Malú Tansey,0000-0002-1719-4708,Co-PI,Liddle,Yes
285,W4388994083,A5077753619,Yaping Chu,0000-0001-6573-9496,Key Personnel,Kordower,No
286,W4388994083,A5020699970,Warren Hirst,0000-0003-0389-8891,Co-PI,Kordower,No
287,W4388994083,A5003466529,Howard Federoff,0000-0002-7595-6520,,,No
288,W4388994083,A5046016738,Ashley Harms,0000-0002-7054-2812,Co-PI,Kordower,No
289,W4388994083,A5046016738,Ashley Harms,0000-0002-7054-2812,Co-PI,Sulzer,No
290,W4388994083,A5066908279,A. Stoessl,0000-0002-9778-7246,,,No
291,W4388994083,A5074765508,Jeffrey Kordower,0000-0001-8629-3294,Lead-PI,Kordower,No
292,W4391605343,A5026847057,Claudia Ceci,0000-0002-5958-7497,,,No
293,W4391605343,A5005666712,Pedro Lacal,0000-0003-1166-4593,,,No
294,W4391605343,A5029278885,Maria Barbaccia,0000-0002-5378-3972,,,No
295,W4391605343,A5082528797,Nicola Mercuri,0000-0001-6700-7491,Co-PI,Vila,No
296,W4391605343,A5036918847,Grazia Graziani,0000-0002-0221-768X,,,Yes
297,W4391605343,A5046897266,Ada Ledonne,0000-0001-6302-207X,Key personnel,Vila,No
298,W4391592420,A5093707387,Vanitha Nithianadam,,,,No
299,W4391592420,A5002011992,Souvarish Sarkar,0000-0002-7384-0508,,,No
300,W4391592420,A5002571663,Mel Feany,0000-0003-0315-7970,Co-PI,Scherzer,No
301,W4389233086,A5053245720,Marta Murillo,0000-0002-6175-9315,Key Personnel,Reck-Peterson,Yes
302,W4389233086,A5092762755,Amalia Suarez,0000-0003-3400-2330,Key Personnel,Reck-Peterson,Yes
303,W4389233086,A5102848969,Verena Dederer,0009-0006-7557-5388,Key Personnel,Reck-Peterson,Yes
304,W4389233086,A5086343829,Deep Chatterjee,0000-0001-8190-9213,Key Personnel,Reck-Peterson,No
305,W4389233086,A5068728058,Jaime Louro,0000-0002-2800-923X,Key Personnel,Reck-Peterson,No
306,W4389233086,A5013336817,Stefan Knapp,0000-0001-5995-6494,Co-PI,Reck-Peterson,No
307,W4389233086,A5042127936,Sebastian Mathea,0000-0001-8500-4569,Key Personnel,Reck-Peterson,No
308,W4389233086,A5011173483,Andrés Leschziner,0000-0002-7732-7023,Co-PI,Reck-Peterson,Yes
309,W4389947944,A5041273618,Pranay Srivast,,,,No
310,W4389947944,A5036502710,Shuhei Nishiyama,0000-0002-0248-1595,,,No
311,W4389947944,A5102594393,Sonia Lin,,,,No
312,W4389947944,A5114057227,Akriti Srivast,,,,No
313,W4389947944,A5083908936,Chien‐Wen Su,0000-0002-5457-9295,,,No
314,W4389947944,A5071360122,Weiyi Peng,0000-0002-7785-6240,Co-PI,Chen,No
315,W4389947944,A5088331314,Michaël Levy,0000-0003-2766-5777,,,No
316,W4389947944,A5041777746,Michael Schwarzschild,0000-0001-6019-8280,Co-PI,Chen,No
317,W4389947944,A5102444871,Yuehang Xu,,,,No
318,W4389947944,A5012470875,Xiqun Chen,0000-0001-8582-8891,Lead-PI,Chen,No
319,W4391934167,A5086555383,Marcelo Mendonça,0000-0003-3587-8553,Key Personnel,Surmeier,No
320,W4391934167,A5055317786,Joaquim Silva,0000-0002-3967-3603,Key Personnel,Surmeier,No
321,W4391934167,A5031983930,Ledia Hernández,0000-0002-5293-3748,,,No
322,W4391934167,A5065746258,Iván Castela,0000-0002-5436-6716,,,No
323,W4391934167,A5062838955,José Obeso,0000-0002-6996-8613,Co-PI,Vila,No
324,W4391934167,A5060965799,Rui Costa,0000-0003-0495-8374,Co-PI,Surmeier,Yes
325,W4391483361,A5064417807,Taylor Russo,0000-0003-4564-5366,,,No
326,W4391483361,A5001504885,Benjamin Kolisnyk,0000-0003-3990-0340,,,No
327,W4391483361,A5092510828,Aswathy Bs,0000-0002-3763-3448,,,No
328,W4391483361,A5100670572,Tae Kim,0000-0002-0831-6881,,,No
