,ZenodoOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid
112,W4393708165,A5011173483,Andrés Leschziner,0000-0002-7732-7023
113,W4393708165,A5021023250,Samara Reck‐Peterson,0000-0002-1553-465X
114,W4393708165,A5013336817,Stefan Knapp,0000-0001-5995-6494
115,,,nan,
116,W4393792867,A5072197894,Zhouping Hong,0000-0002-8513-3288
117,W4393656754,A5022357653,Enrico Zampese,0000-0002-8851-2566
118,W4393656754,A5044172289,David Wokosin,
119,W4393656754,A5102639210,Patricia Rodriguez,
120,W4393656754,A5111645731,Jaime Guzmán,0000-0002-7142-8384
121,W4393656754,A5005081394,Tatiana Tkatch,0000-0001-6626-7435
122,W4393656754,A5009047210,Jyothisri Kondapalli,
123,W4393656754,A5110964195,William Surmeier,
124,W4393656754,A5091095249,Karis D’Alessandro,0000-0003-1572-1321
125,W4393656754,A5014388603,Diego Stefani,0000-0003-3796-8907
126,W4393656754,A5027748782,Rosario Rizzuto,0000-0001-7044-5097
127,W4393656754,A5009491639,Masamitsu Iino,0000-0001-6426-4206
128,W4393656754,A5075550603,Jeffery Molkentin,0000-0002-3558-6529
129,W4393656754,A5046518034,Navdeep Chandel,0000-0001-7208-3886
130,W4393656754,A5081897750,Paul Schumacker,0000-0001-9591-2034
131,W4393656754,A5033742239,D. Surmeier,0000-0002-6376-5225
132,,,nan,
133,,,nan,
134,W4393719472,A5028861095,Shanlin Rao,0000-0003-4892-5523
135,W4393719472,A5059945365,Gerhard Hummer,0000-0001-7768-746X
136,W4393803522,A5022317877,Gautam Wali,0000-0003-2961-3954
137,W4393803522,A5005036101,Dad Abu-Bonsrah,0000-0002-2687-3526
138,W4393803522,A5083016310,Deniz Kirik,0000-0002-1360-1265
139,W4393803522,A5044118193,Clare Parish,0000-0001-8212-9884
140,W4393803522,A5045037139,Carolyn Sue,0000-0003-1255-3617
141,W4393757336,A5086806840,Scott Muller,0000-0002-5379-1331
142,W4393757336,A5077753619,Yaping Chu,0000-0001-6573-9496
143,W4393757336,A5074765508,Jeffrey Kordower,0000-0001-8629-3294
144,,,nan,
145,,,nan,
146,W4393784486,A5046678361,Gregory Williams,0000-0001-9523-1781
147,W4393784486,A5052801583,Kaylin Muskat,
148,W4393784486,A5044515449,April Frazier,0000-0002-4722-7304
149,W4393784486,A5075915109,Yaqian Xu,0000-0001-5890-3446
150,W4393784486,A5063444034,José Mateus,0000-0002-1402-3452
151,W4393784486,A5083647614,Alba Grifoni,0000-0002-0369-1746
152,W4393784486,A5075614639,Ricardo Antunes,0000-0001-9785-5272
153,W4393784486,A5071431150,Daniela Weiskopf,0000-0003-2968-7371
154,W4393784486,A5067845430,Amy Amara,0000-0003-0762-9656
155,W4393784486,A5000374325,David Standaert,0000-0003-2921-8348
156,W4393784486,A5061596611,Jennifer Goldman,0000-0001-5014-7535
157,W4393784486,A5006709022,Irene Litvan,0000-0002-3485-3445
158,W4393784486,A5037098776,Roy Alcalay,0000-0002-5717-4875
159,W4393784486,A5026787858,David Sulzer,0000-0001-7632-0439
160,W4393784486,A5066674783,Cecilia Arlehamn,0000-0001-7302-8002
161,W4393784486,A5010966529,Alessandro Sette,0000-0001-7013-2250
162,W4393449518,A5002623700,Chunmei Chang,0000-0002-5607-7985
163,W4393449518,A5071900726,Lisa Strong,0000-0002-4293-8131
164,W4393449518,A5061450716,James Hurley,0000-0001-5054-5445
165,,,nan,
166,W4393731976,A5046721666,Manuela Tan,0000-0001-5835-669X
167,W4393731976,A5082416184,Huw Morris,0000-0002-5473-3774
168,W4393783195,A5054612290,Mai-Anh Vu,0000-0003-4766-1159
169,W4393783195,A5103158780,Eleanor Brown,0000-0001-9564-9213
170,W4393783195,A5093284830,Christian Noggle,0009-0003-0225-3677
171,W4393783195,A5101797192,Zicheng Zhang,0000-0002-7247-7938
172,W4393783195,A5004348674,Kevin Monk,0000-0003-2055-2614
173,W4393783195,A5085666638,Safa Bouabid,0000-0003-4184-3795
174,W4393783195,A5020594160,Ian Davison,0000-0003-0998-7676
175,W4393783195,A5003078833,Mark Howe,0000-0002-6865-5084
176,,,nan,
177,,,nan,
178,W4393725102,A5053163008,Maite Azcorra,0000-0002-2919-3825
179,,,nan,
180,,,nan,
181,,,nan,
182,W4393670743,A5066628008,Felix Kraus,0000-0002-3757-541X
183,W4393670743,A5042803666,Ellen Goodall,0000-0001-9876-5973
184,W4393670743,A5035241621,Ian Smith,0000-0002-4966-9333
185,W4393670743,A5054007595,Yizhi Jiang,0000-0001-9016-1104
186,W4393670743,A5023479457,Julia Paoli,0000-0001-8266-1766
187,W4393670743,A5111159974,Frank Adolf,
188,W4393670743,A5000219280,Jiuchun Zhang,
189,W4393670743,A5026734370,João Paulo,0000-0002-4291-413X
190,W4393670743,A5023564164,Brenda Schulman,0000-0002-3083-1126
191,W4393670743,A5047746208,J. Harper,0000-0002-6944-7236
192,W4393832164,A5094337852,University Pittsburgh,
193,,,nan,
194,W4393500898,A5054743790,Miguel Chuapoco,0000-0001-5397-996X
195,W4393500898,A5038007344,Nicholas Flytzanis,0000-0002-7921-9392
196,W4393500898,A5039431916,Nick Goeden,
197,W4393500898,A5028809809,J. Octeau,0000-0001-6462-9439
198,W4393500898,A5077285514,Kristina Roxas,0009-0004-7462-0154
199,W4393500898,A5068542583,Ken Chan,0000-0002-8853-5186
200,W4393500898,A5036676609,J Scherrer,0009-0008-8040-4860
201,W4393500898,A5018958986,Janet Winchester,
202,W4393500898,A5033121696,Roy Blackburn,
203,W4393500898,A5057677268,Lillian Campos,0000-0003-0839-0288
204,W4393500898,A5068243350,Kwun Man,0000-0002-0132-9129
205,W4393500898,A5076380977,Junqing Sun,
206,W4393500898,A5103159490,Xinhong Chen,0000-0003-0408-0813
207,W4393500898,A5065342764,Arthur Lefèvre,0000-0003-2847-0859
208,W4393500898,A5107946983,Vikram Singh,0000-0002-1593-9796
209,W4393500898,A5044178593,Cynthia Arokiaraj,0000-0003-3201-9868
210,W4393500898,A5017919522,Timothy Shay,0000-0001-6591-3271
211,W4393500898,A5018653405,Julia Vendemiatti,0000-0002-6547-9601
212,W4393500898,A5029757025,Min Jang,0000-0002-1536-7177
213,W4393500898,A5053088872,John Mich,0000-0002-1626-1139
214,W4393500898,A5056483082,Yeme Bishaw,
215,W4393500898,A5061805152,Bryan Gore,0000-0003-1721-4235
216,W4393500898,A5080318812,Victoria Omstead,0000-0002-3796-970X
217,W4393500898,A5006766567,Naz Taskin,0009-0003-2417-8428
218,W4393500898,A5008277955,Natalie Weed,0000-0003-0891-0327
219,W4393500898,A5013070422,Jonathan Ting,0000-0001-8266-0392
220,W4393500898,A5081532552,Cory Miller,0000-0001-8345-2720
221,W4393500898,A5014515859,Benjamin Deverman,0000-0002-6223-9303
222,W4393500898,A5053346018,James Pickel,0000-0002-3617-3072
223,W4393500898,A5080490976,Lin Tian,0000-0001-7012-6926
224,W4393500898,A5101580701,Andrew Fox,0000-0003-0695-3323
225,W4393500898,A5050240445,Viviana Gradinaru,0000-0001-5868-348X
226,,,nan,
227,,,nan,
228,W4283697908,A5034575260,Reem Abdel-Haq,0000-0002-7418-5736
229,W4283697908,A5053569958,Sarkis Mazmanian,0000-0003-2713-1513
230,W4283697908,A5017206227,Johannes Schlachetzki,0000-0002-7801-9743
231,W4283697908,A5082378291,Joseph Boktor,0000-0003-2456-1913
232,W4283697908,A5014061199,Thaisa Cantu-Jungles,0000-0001-8928-9717
233,W4283697908,A5064324943,Taren Thron,0000-0001-9577-2617
234,W4283697908,A5103166723,Mengying Zhang,0000-0003-0674-9437
235,W4283697908,A5025238358,John Bostick,0000-0001-8925-2447
236,W4283697908,A5023642382,Tahmineh Khazaei,0000-0002-4743-2383
237,W4283697908,A5008275014,Sujatha Chilakala,0000-0003-1581-3381
238,W4283697908,A5027763981,Lívia Morais,0000-0002-5738-2658
239,W4283697908,A5087126302,Greg Humphrey,
240,W4283697908,A5002619544,Ali Keshavarzian,0000-0002-7969-3369
241,W4283697908,A5089760163,Bruce Hamaker,0000-0001-6591-942X
242,W4283697908,A5022615394,Jonathan Katz,0000-0001-8175-790X
243,W4283697908,A5014506392,Matt Thomson,0000-0003-1021-1234
244,W4283697908,A5033881627,Rob Knight,0000-0002-0975-9019
245,W4283697908,A5039839135,Christopher Glass,0000-0003-4344-3592
246,W4283697908,A5050240445,Viviana Gradinaru,0000-0001-5868-348X
247,W4394049292,A5053163008,Maite Azcorra,0000-0002-2919-3825
248,W4393839564,A5021363544,David Snead,0000-0001-7839-452X
249,W4393839564,A5084097252,Mariusz Matyszewski,0000-0003-1033-9270
250,W4393839564,A5057238552,Andrea Dickey,0000-0001-8725-0982
251,W4393839564,A5044141143,Yu Lin,0000-0002-1016-4776
252,W4393839564,A5011173483,Andrés Leschziner,0000-0002-7732-7023
253,W4393839564,A5021023250,Samara Reck‐Peterson,0000-0002-1553-465X
254,W4393728825,A5011976831,Alexander Röntgen,0000-0002-0500-4815
255,W4393728825,A5006932685,Zenon Toprakcioglu,0000-0003-1964-8432
256,W4393728825,A5033209539,James Tomkins,0000-0003-3010-6634
